Free,FALSE,,
Installs,(All),,
,,,
Genre,Average of Rating,Sum of Maximum Installs,Average of Price
Action,3.2,59333833,3.32
Adventure,3.6,20856724,4.26
Arcade,2.7,47480039,7.65
Art & Design,2.1,423618,8.39
Auto & Vehicles,2.4,433494,7.41
Beauty,0.1,228,4.28
Board,3.4,4178992,3.97
Books & Reference,1.6,4001388,6.11
Business,1.9,4150821,11.73
Card,3.4,2410525,3.81
Casino,2.7,196742,5.19
Casual,2.5,5405568,4.26
Comics,3.1,123330,2.16
Communication,2.6,7103587,4.53
Dating,2.6,2430,9.99
Education,1.7,9787448,6.06
Educational,1.8,8040853,3.26
Entertainment,2.3,3998171,5.31
Events,1.2,32179,3.44
Finance,2.1,817978,5.37
Food & Drink,1.5,274678,9.04
Health & Fitness,2.2,4586815,6.24
House & Home,1.8,46628,3.76
Libraries & Demo,3.2,624394,3.37
Lifestyle,1.9,1201235,6.36
Maps & Navigation,1.7,2278360,4.88
Medical,1.8,1587318,14.21
Music,2.2,3009756,2.50
Music & Audio,2.6,12828965,4.26
News & Magazines,2.4,279900,2.49
Parenting,2.4,581649,3.05
Personalization,3.0,22408348,1.77
Photography,3.0,12360584,3.50
Productivity,2.6,9479767,6.84
Puzzle,3.0,18539757,3.78
Racing,3.4,9794343,2.65
Role Playing,3.9,19899789,4.32
Shopping,2.3,567355,10.52
Simulation,3.5,19742769,4.73
Social,2.4,928522,6.89
Sports,2.2,9801527,7.85
Strategy,3.6,10523035,3.23
Tools,2.6,21045044,4.61
Travel & Local,1.2,2227130,3.54
Trivia,2.6,1568534,2.92
Video Players & Editors,2.7,5493232,5.08
Weather,3.2,1773190,4.69
Word,2.7,3404446,2.71
Grand Total,2.4,375635018,5.20
